text,hate label,hashtags,source,user_created,user_friends,user_favourites,is_retweet
"RT @charlieswp: Now @MuseumoftheHome should know that #GeffryeMustFall and that if they don't take it down, others will. #BlackLivesMatter…",0,['BlackLivesMatter'],Twitter Web App,23-02-2020 20:07,1297,33142,FALSE
RT @MusicHennessey: Tonight @8pm we interview @Harrietviolin and @ErrollynWallen You can tune in from 8pm https://t.co/F8F2NWIJnL Preorder…,0,,Twitter for Android,26-06-2011 23:57,397,306702,FALSE
"RT @hungrybowtie: Some officers advance close to the crowd, attempting to take down the shield wall. #blacklivesmatter   #protest #pdx #Por…",0,"['ZimbabweanLivesMatter', 'BlackLivesMatter']",Twitter for iPhone,06-04-2018 05:37,668,134398,FALSE
He’s not in the WWE HOF because of his skin color: Former WWE wrestler James 'Kamala' Harris dies at 70… https://t.co/ZHUGwLNGyl,0,['BlackLivesMatter'],Twitter for iPhone,27-07-2017 01:37,32,13317,FALSE
@shaunking ...going through it now fighting for my life my rights and reached out but have not gotten a reply...ple… https://t.co/uMBDKaIndH,0,"['MeToo', 'BLM']",Twitter for iPhone,27-09-2009 19:24,17076,10564,FALSE
Truth Hurts! ⁦@KingJames⁩ ⁦@Tip⁩ ⁦@Ludacris⁩ ⁦@SnoopDogg⁩ #BLM  https://t.co/KhUgMqlOSC,0,['BlackLivesMatter'],Twitter Web App,17-11-2019 01:30,357,2782,FALSE
Anti-violence activists speak after 9-year-old killed on Near North Side https://t.co/QTsisIcwgR @realDonaldTrump @POTUS #BlackLivesMatter,0,['BlackLivesMatter'],Twitter for iPhone,10-01-2020 07:47,220,2099,FALSE
Omg they are looting in Chicago again! This is sad! This has nothing to do with #BlackLivesMatter people!,0,,Twitter for iPhone,30-09-2014 18:13,886,191666,FALSE
"In the USA approximately 2% of commercial pilots are Black. #Aviation
#BlackLivesMatter",0,,Twitter for iPad,10-02-2009 15:41,55,629,FALSE
"RT @kthblossom_: please remember to keep checking, sharing and signing petions and donating if possible!! there's still so many people we n…",0,['BlackLivesMatter'],Twitter for iPhone,03-12-2017 18:56,188,507,FALSE
"Internally I'm still in #SpringBreak 03/15/2020. By that date &amp; so far we were:
-social distancing
-with stay-at-ho… https://t.co/oDY9PwXXy6",0,['ChicagoRiots'],Twitter for Android,19-05-2010 10:25,555,490,FALSE
RT @GardenStateTait: #AntiFascist #BLM part 3! https://t.co/cufokNh29l,0,,Twitter for Android,12-10-2011 17:36,5004,120320,FALSE
Breonna Taylor’s murderers are still free. Similar instances continue to happen everyday. #BlackLivesMatter #NoJusticeNoPeace,0,['TwitterBestFandom'],Twitter for Android,25-11-2018 11:49,1938,162345,FALSE
Thank you @BBCTwo for playing @AusDreamFilm. It’s necessary viewing for all of us and Adam Goodes is an inspiration… https://t.co/F8oeAafKXp,0,['socialistteeth'],Twitter for Android,15-07-2020 19:46,15,180,FALSE
#US Attorney general William Barr said: 'I don’t agree there is systemic #racism in #police departments generally i… https://t.co/i0gzav8eLD,0,,TweetDeck,02-12-2013 03:18,275,311,FALSE
"RT @chewgnasher: America is now officially a fascist State

Britain is next unless people act together.

#BLM #CorbynWasRight #CorbynForever",0,,Twitter Web App,23-11-2019 13:21,1987,7364,FALSE
So I finished this today. I started the first episode in January some time and was so upset by the first ep I never… https://t.co/tGXr8YPWob,0,['BlackLivesMatter'],Twitter for Android,05-10-2012 14:35,3008,7565,FALSE
"RT @paddydocherty: The struggle continues. Heather Heyer put her life on the line to #StopFascism in Charlottesville, Virginia, on Aug 12th…",0,['BlackLivesMatter'],Twitter Web App,08-07-2009 03:37,61,2671,FALSE
"One of the things we can do as Americans is educate ourselves on a daily basis. Especially, &amp; more importantly in t… https://t.co/8NOKEODrNt",0,['BlackLivesMatter'],Twitter for iPhone,21-03-2017 16:30,5228,129779,FALSE
"A little bit of good news here in #CT 
State Senate Passes Police Accountability Bill. 
#CTPolitics #BLM  https://t.co/5KmcdzIcvp",0,['BLM'],Twitter Web App,22-07-2011 12:52,3876,3556,FALSE
At the age of 18 Josh was given 8 years for stealing a bag of crisps and lighting a bin at the Ferguson rebellion.… https://t.co/7j7s9HBGge,0,"['Democrats', 'Antifa', 'BLM']",Twitter for iPhone,28-05-2011 15:28,1039,68,FALSE
"@momfroggy This is heartbreaking. It has to change. 
#BlackLivesMatter",0,,Twitter Web App,26-05-2011 12:54,2031,1867,FALSE
RT @hastings_museum: We're proud to post 'The Black Lens - Viewing Britain From a Darker Perspective' by Paris Grande - the second of four…,0,['BlackLivesMatter'],Twitter for iPhone,29-12-2015 06:19,58,16352,FALSE
"I posted this awhile ago BUT for any sports card collectors, @whitesox #Chicago #ChicagoWhiteSox #BlackLivesMatter… https://t.co/IF5aFJLXnR",0,['BlackLivesMatter'],Twitter for iPhone,19-04-2013 03:31,284,5682,FALSE
"RT @LushLife243: Wow. #BlackLivesMatter, not really.",0,,Twitter for iPhone,12-11-2012 16:17,2391,7173,FALSE
@AdamMilstein @LAPDHQ It is clear in the video an officer instigated the violence and damage of property. It is an… https://t.co/x6bjmfIOs4,0,,Twitter Web App,23-02-2020 20:07,1297,33142,FALSE
"@ChuckCallesto Arrest both, the #blm leader and Manhattan District Attorney! #NYdistrictattorney",0,['BlackLivesMatter'],Twitter for Android,11-11-2016 18:11,1084,7278,FALSE
"RT @Montalvo501: Unbelievable 
American Nurses Association PAC
Next time I receive a donation request to support, I’ll remember this decisi…",0,['BlackLivesMatter'],Twitter for iPhone,17-12-2016 00:36,60,1927,FALSE
"RT @levarburton: You must decide or be convinced that a human being’s worth, their value, is written on their skin. As policy and practice,…",0,['BlackLivesMatter'],Twitter for iPhone,03-11-2013 20:40,643,99802,FALSE
"@Squarecle_ Ppl need help fr #나는_샘_오취리와_연대합니다
#I_Stand_with_Sam_Okyere
#BlackLivesMatter",0,"['MeToo', 'BLM']",Twitter for Android,11-10-2013 19:21,158,332,FALSE
Music for the masses and therapy for the soul. #BLM – ♫What Is This Feeling? (From 'Wicked' Original Broadway Cast… https://t.co/KerQZ0XcCV,0,,Twitter Web App,13-03-2019 15:05,62,11,FALSE
"TOO LATE:  #Dems starting to panic that voters will blame them for #riots…. https://t.co/gy0EIwsmCN…

✅ #Antifa is… https://t.co/E8ZSBA7xyf",0,['BlackLivesMatter'],Twitter for iPhone,14-10-2015 01:05,4934,51724,FALSE
RT @drofdem: @GregKCTV5 @KCTV5 #BLM has been hijacked by Marxists anarchists destroying streets cities #CCP Chinese communist party trait o…,0,['BlackLivesMatter'],Twitter for Android,24-02-2019 12:45,1570,60007,FALSE
"Chicago's Miracle Mile looted. Video shows BLM rioters looting Louis Vuitton m, talking about bag prices and trying… https://t.co/ZrRisYrMC8",0,['BlackLivesMatter'],Twitter for iPhone,06-02-2013 02:37,2599,49776,FALSE
@VictorOliverMa1 @Brittany3l Said like a true sheep. 🐑 #blm #maga #KAG2020 #MAGA2020 🇺🇸🇺🇸🇺🇸🇺🇸,0,,Twitter for iPhone,07-12-2019 22:00,180,3037,FALSE
"@Piggytechnobarb #blacklivesmatter 
Just because the hastag isn't trending anymore doesn't mean it doesn't matter.… https://t.co/GOE93Jt539",0,"['WhiteSox', 'BLM', 'Dubstep']",Twitter Web App,09-10-2017 15:43,557,7,FALSE
"RT @MariaGernert: ""[S]ustainable and just cities are, or at least should be, a matter of life and death,"" @FlorAvelino @erasmusuni @TACdrif…",0,['BlackLivesMatter'],Twitter for iPad,31-03-2017 14:21,549,64835,FALSE
RT @GettyImagesNews: #BlackLivesMatter protests demanding #JusticeForBreonnaTaylor in Midtown Manhattan. #NYC #BreonnaTaylor 📷:  David Dee…,0,['BlackLivesMatter'],Twitter for iPhone,10-01-2020 07:47,220,2099,FALSE
https://t.co/0wGfJwRxeC 🔊 The Who - My Generation (40th Anniversary Version - Live At Leeds) #AmericaOrTrump… https://t.co/QYpZwBKPAu,0,,Twitter for iPhone,28-02-2017 00:28,43,542,FALSE
See this Instagram video by North Louisiana Civil Rights Coalition on Confederate monuments and mascots… https://t.co/xBytEFMqDa,0,['BlackLivesMatter'],Twitter for Android,05-08-2010 14:07,237,205420,FALSE
"Breonna Taylor

#blacklivesmatter #breonnataylor #painting #tribute

#splintered @aishabadrumusic https://t.co/MCXYgtUQRE",0,,Twitter Web App,20-09-2019 20:04,45,554,FALSE
"RT @SelahSwift: Looks like #BLM has COMPLETELY ""un-cloaked"" itself, for its TRUE agenda. Peep the word usage.... ""deaths of gay and trans p…",0,['BlackLivesMatter'],Twitter for Android,24-02-2019 12:45,1570,60007,FALSE
"RT @johnis44: Zaila Avant-Garde, 13, Wins National Online Spelling Bee #OVTTDS #ONEV1 #DemCast #BLM  https://t.co/vnAS5A3Rlk via @goodblack…",0,['BlackLivesMatter'],Twitter for iPad,31-10-2015 02:06,278,20849,FALSE
To those who donated money to #blm and every other lying org y’all just funded the “alien invasion” great https://t.co/LPLckbkNei,0,['BlackLivesMatter'],Twitter for iPhone,05-10-2013 21:40,689,318,FALSE
"@Angel1111summit Be concerned. 

WE can change the trajectory of 2021, 2022, 2023, 2024 

Let's get out and #VOTE 

#BlackLivesMatter",0,['BLM'],Twitter for Android,06-08-2015 21:23,350,23987,FALSE
RT @JeriSamantha: “Hope is a muscle. Hope is sacrifice. Hope is continued work.” @SenBooker to @MomsDemand @Everytown #GSU2020 attendees 💪…,0,['BlackLivesMatter'],Twitter for Android,21-06-2020 06:06,71,261,FALSE
